;BA;SPXT
03.01.2006;70.44;1918.96
04.01.2006;71.17;1926.39
05.01.2006;70.33;1926.44
06.01.2006;69.35;1945.02
09.01.2006;68.77;1952.13
10.01.2006;69.10;1951.53
11.01.2006;70.10;1958.56
12.01.2006;69.69;1946.28
13.01.2006;69.48;1948.64
17.01.2006;68.69;1941.57
18.01.2006;68.33;1934.21
19.01.2006;68.17;1944.98
20.01.2006;66.50;1909.35
23.01.2006;67.02;1912.91
24.01.2006;67.66;1917.54
25.01.2006;66.91;1914.28
26.01.2006;68.72;1928.17
27.01.2006;68.56;1943.34
30.01.2006;69.03;1945.66
31.01.2006;68.31;1937.93
01.02.2006;71.62;1941.75
02.02.2006;71.70;1924.67
03.02.2006;70.87;1914.50
06.02.2006;71.14;1916.04
07.02.2006;71.55;1900.58
08.02.2006;71.76;1917.84
09.02.2006;72.01;1915.10
10.02.2006;72.53;1920.00
13.02.2006;72.11;1914.02
14.02.2006;72.71;1933.46
15.02.2006;72.45;1940.68
16.02.2006;72.55;1955.06
17.02.2006;72.96;1951.83
21.02.2006;73.05;1945.45
22.02.2006;74.39;1960.26
23.02.2006;73.90;1953.37
24.02.2006;74.31;1956.13
27.02.2006;74.13;1963.58
28.02.2006;72.69;1943.19
01.03.2006;72.95;1959.77
02.03.2006;72.80;1956.60
03.03.2006;73.39;1953.74
06.03.2006;72.63;1940.20
07.03.2006;73.16;1936.68
08.03.2006;72.82;1941.17
09.03.2006;73.76;1931.73
10.03.2006;74.79;1945.92
13.03.2006;74.84;1950.39
14.03.2006;75.45;1970.65
15.03.2006;76.05;1979.21
16.03.2006;76.73;1982.76
17.03.2006;77.85;1985.69
20.03.2006;78.18;1982.40
21.03.2006;78.26;1970.50
22.03.2006;78.61;1982.40
23.03.2006;77.90;1977.29
24.03.2006;78.73;1979.23
27.03.2006;78.39;1977.19
28.03.2006;77.51;1964.47
29.03.2006;79.18;1979.51
30.03.2006;78.42;1975.60
31.03.2006;77.93;1967.38
03.04.2006;78.01;1971.92
04.04.2006;78.60;1984.47
05.04.2006;79.11;1993.21
06.04.2006;79.82;1989.87
07.04.2006;79.57;1969.30
10.04.2006;80.79;1971.03
11.04.2006;80.57;1956.12
12.04.2006;83.21;1958.49
13.04.2006;82.93;1960.01
17.04.2006;82.35;1954.25
18.04.2006;83.30;1988.18
19.04.2006;84.96;1991.84
20.04.2006;85.50;1994.23
21.04.2006;86.46;1993.99
24.04.2006;86.10;1989.20
25.04.2006;85.11;1979.51
26.04.2006;84.91;1985.29
27.04.2006;84.10;1992.39
28.04.2006;83.45;1993.79
01.05.2006;83.86;1985.55
02.05.2006;85.33;1997.75
03.05.2006;85.87;1989.97
04.05.2006;86.64;1996.74
05.05.2006;88.47;2017.34
08.05.2006;87.59;2015.84
09.05.2006;87.99;2016.60
10.05.2006;88.94;2013.99
11.05.2006;88.21;1988.56
12.05.2006;87.01;1966.27
15.05.2006;85.86;1971.45
16.05.2006;86.40;1967.79
17.05.2006;83.77;1935.18
18.05.2006;82.73;1922.32
19.05.2006;84.61;1930.27
22.05.2006;85.71;1922.72
23.05.2006;85.15;1914.38
24.05.2006;82.38;1917.48
25.05.2006;82.99;1939.52
26.05.2006;83.50;1950.87
30.05.2006;82.13;1920.09
31.05.2006;83.25;1936.41
01.06.2006;83.64;1960.28
02.06.2006;83.80;1964.11
05.06.2006;82.13;1929.23
06.06.2006;80.65;1927.13
07.06.2006;81.46;1915.77
08.06.2006;81.19;1918.59
09.06.2006;80.50;1910.01
12.06.2006;77.88;1885.81
13.06.2006;76.98;1866.92
14.06.2006;82.01;1876.67
15.06.2006;84.81;1916.56
16.06.2006;85.54;1909.52
19.06.2006;84.76;1892.12
20.06.2006;84.85;1892.13
21.06.2006;85.85;1910.62
22.06.2006;84.06;1900.98
23.06.2006;83.39;1899.32
26.06.2006;83.89;1908.56
27.06.2006;81.93;1891.24
28.06.2006;82.64;1901.98
29.06.2006;83.00;1943.09
30.06.2006;81.91;1939.03
03.07.2006;81.30;1954.49
05.07.2006;80.17;1940.55
06.07.2006;80.81;1945.90
07.07.2006;79.99;1932.75
10.07.2006;80.35;1935.62
11.07.2006;81.63;1943.66
12.07.2006;80.92;1922.62
13.07.2006;79.59;1897.73
14.07.2006;77.25;1888.43
17.07.2006;78.95;1885.82
18.07.2006;79.17;1889.48
19.07.2006;82.29;1924.74
20.07.2006;80.69;1908.42
21.07.2006;79.08;1894.94
24.07.2006;81.44;1926.50
25.07.2006;83.75;1938.67
26.07.2006;79.90;1937.96
27.07.2006;78.71;1930.32
28.07.2006;78.91;1953.86
31.07.2006;77.42;1951.00
01.08.2006;78.17;1942.22
02.08.2006;78.62;1954.18
03.08.2006;79.40;1957.41
04.08.2006;79.49;1956.05
07.08.2006;79.75;1950.63
08.08.2006;78.15;1944.22
09.08.2006;77.16;1936.30
10.08.2006;76.20;1945.61
11.08.2006;75.96;1938.13
14.08.2006;75.39;1940.50
15.08.2006;76.58;1967.26
16.08.2006;78.83;1982.81
17.08.2006;78.59;1986.04
18.08.2006;77.62;1993.43
21.08.2006;76.63;1986.11
22.08.2006;76.95;1988.10
23.08.2006;76.36;1979.35
24.08.2006;75.24;1984.09
25.08.2006;73.93;1982.81
28.08.2006;74.72;1993.06
29.08.2006;73.78;1997.20
30.08.2006;75.02;1998.08
31.08.2006;74.90;1997.41
01.09.2006;75.43;2008.47
05.09.2006;75.36;2012.00
06.09.2006;74.44;1992.42
07.09.2006;72.87;1982.93
08.09.2006;72.80;1990.44
11.09.2006;73.82;1991.49
12.09.2006;74.26;2012.32
13.09.2006;76.32;2020.49
14.09.2006;75.01;2017.86
15.09.2006;75.01;2023.35
18.09.2006;75.21;2025.39
19.09.2006;74.87;2021.01
20.09.2006;76.19;2031.59
21.09.2006;76.11;2021.08
22.09.2006;77.25;2016.09
25.09.2006;77.71;2033.87
26.09.2006;79.00;2049.20
27.09.2006;79.41;2049.97
28.09.2006;79.28;2053.93
29.09.2006;78.85;2048.89
02.10.2006;79.97;2041.99
03.10.2006;81.78;2046.28
04.10.2006;83.96;2071.45
05.10.2006;83.62;2076.63
06.10.2006;83.68;2071.05
09.10.2006;82.65;2072.71
10.10.2006;82.13;2077.01
11.10.2006;81.64;2071.90
12.10.2006;83.64;2091.68
13.10.2006;82.39;2095.97
16.10.2006;82.66;2101.26
17.10.2006;82.29;2093.58
18.10.2006;82.74;2096.71
19.10.2006;82.41;2098.32
20.10.2006;81.74;2100.86
23.10.2006;82.80;2113.82
24.10.2006;83.59;2114.36
25.10.2006;80.86;2121.83
26.10.2006;79.14;2132.39
27.10.2006;79.74;2114.65
30.10.2006;80.22;2115.63
31.10.2006;79.86;2115.65
01.11.2006;80.06;2100.36
02.11.2006;79.20;2100.21
03.11.2006;79.97;2095.68
06.11.2006;80.48;2119.53
07.11.2006;84.85;2124.28
08.11.2006;85.45;2129.22
09.11.2006;85.11;2118.32
10.11.2006;85.62;2122.26
13.11.2006;85.69;2128.17
14.11.2006;85.74;2141.95
15.11.2006;87.08;2147.60
16.11.2006;88.71;2152.57
17.11.2006;89.52;2154.80
20.11.2006;89.12;2153.76
21.11.2006;91.10;2157.42
22.11.2006;90.10;2162.65
24.11.2006;89.77;2154.96
27.11.2006;87.37;2125.67
28.11.2006;87.94;2133.52
29.11.2006;88.89;2154.09
30.11.2006;88.53;2155.89
01.12.2006;89.55;2149.85
04.12.2006;89.58;2169.00
05.12.2006;90.73;2177.75
06.12.2006;90.83;2175.45
07.12.2006;90.01;2166.87
08.12.2006;90.13;2170.84
11.12.2006;89.78;2175.80
12.12.2006;90.31;2173.58
13.12.2006;89.60;2176.52
14.12.2006;89.93;2195.59
15.12.2006;90.70;2198.07
18.12.2006;89.56;2190.97
19.12.2006;90.17;2195.80
